run,final_capital
0,240.6563639805029
1,175.02898193810364
2,201.1919950715586
3,293.64794491749706
4,276.62923853963304
5,330.8908323811057
6,380.351790774774
7,533.4771359139946
8,178.5471524293214
9,445.99414503035075
10,171.58013500336256
11,222.24167660441842
12,217.86253026738586
13,344.32666628602783
14,411.8672986986915
15,197.22762078443446
16,358.3080626999541
17,293.6479449174964
18,231.265807711711
19,337.5419043887654
20,361.9300171901793
21,224.7500430207415
22,276.840351665455
23,487.4753007438621
24,445.814523060921
25,582.8400990837405
26,717.9249259595496
27,1191.068264510295
28,231.54349520272905
29,911.0483837855558
30,218.1559097291796
31,321.28718132173145
32,311.86066255434594
33,618.6072788662273
34,808.7424456987605
35,268.717896359867
36,656.5693850987036
37,487.4753007438617
38,341.00362909910257
39,600.4574320535266
40,533.3293808468899
41,282.9847471231755
42,373.40251472946005
43,792.5301820014706
44,703.7359222073242
45,1005.1433208543829
46,1326.3013200749624
47,2600.618895520698
48,294.41847427966763
49,1820.7840601213043
50,271.9950482057715
51,455.18442033100774
52,437.50735546378394
53,1088.0079064324218
54,1553.9975233282503
55,358.90144619627745
56,1177.7038954536813
57,792.5301820014691
58,492.71008216423536
59,1045.755172202036
60,770.1948668665414
61,349.44964408054636
62,493.7892262930039
63,1262.1490091953858
64,1088.3225490343116
65,1697.5267910441473
66,2398.687350123986
67,5554.444904320567
68,367.14329694538503
69,3561.079370666349
70,332.6086973778698
71,632.1157558489286
72,601.6523459284963
73,1873.7801736105098
74,2922.655648413763
75,469.99215514635296
76,2068.3338593178655
77,1262.1490091953801
78,697.7480278870794
79,1783.477514641326
80,1090.2553905980044
81,423.29903992423914
82,640.3356820403062
83,1969.3769119412068
84,1649.2582389547688
85,2808.0782251260257
86,4247.85439114256
87,11607.28480194198
88,449.08375301607185
89,6817.2638212876245
90,398.99478882811104
91,860.6131997840147
92,811.2000017102929
93,3160.598442416189
94,5381.332925849684
95,603.5699969470836
96,3557.373304212465
97,1969.3769119411984
98,968.6527655895713
99,2979.128675387514
100,2059.1757063387536
101,586.7009247311559
102,1016.1908959234181
103,4513.269857212731
104,3566.5796962003506
105,7227.199431326434
106,12517.816072136171
107,47520.9362850684
108,634.5948777704324
109,23451.297851849817
110,542.4216096571075
111,1504.4378373228903
112,1390.8953590343717
113,8455.31162123948
114,17133.564520039014
115,939.4972434008938
116,9892.115928388885
117,4513.26985721273
118,1760.0857497042875
119,7817.174895108197
